N	algorithm	layout	dim	k	privCopies	itemsPerThread	regs	blockSize	shmSize	seed	totalTime	normalizedTime
8M	cuda_cached_means	aos	4	16	1	1	1	256	48k	1	1.00854	0.0300568
8M	cuda_cached_means	aos	4	16	1	1	1	256	48k	2	1.01029	0.0301091
8M	cuda_cached_means	aos	4	16	1	1	1	256	48k	3	1.01161	0.0301483
8M	cuda_cached_means	aos	4	16	1	1	1	256	48k	4	1.01144	0.0301434
8M	cuda_cached_means	aos	4	16	1	1	1	256	48k	5	1.0113	0.0301389
8M	cuda_cached_means	aos	4	16	1	1	1	1024	48k	1	1.16857	0.0348262
8M	cuda_cached_means	aos	4	16	1	1	1	1024	48k	2	1.16885	0.0348344
8M	cuda_cached_means	aos	4	16	1	1	1	1024	48k	3	1.16876	0.0348318
8M	cuda_cached_means	aos	4	16	1	1	1	1024	48k	4	1.16757	0.0347962
8M	cuda_cached_means	aos	4	16	1	1	1	1024	48k	5	1.16839	0.0348207
8M	cuda_cached_means	aos	4	16	1	1	2	256	48k	1	0.658134	0.0196139
8M	cuda_cached_means	aos	4	16	1	1	2	256	48k	2	0.65642	0.0195628
8M	cuda_cached_means	aos	4	16	1	1	2	256	48k	3	0.655142	0.0195248
8M	cuda_cached_means	aos	4	16	1	1	2	256	48k	4	0.655771	0.0195435
8M	cuda_cached_means	aos	4	16	1	1	2	256	48k	5	0.654455	0.0195043
8M	cuda_cached_means	aos	4	16	1	1	2	1024	48k	1	0.699579	0.0208491
8M	cuda_cached_means	aos	4	16	1	1	2	1024	48k	2	0.69942	0.0208443
8M	cuda_cached_means	aos	4	16	1	1	2	1024	48k	3	0.698733	0.0208239
8M	cuda_cached_means	aos	4	16	1	1	2	1024	48k	4	0.716533	0.0213543
8M	cuda_cached_means	aos	4	16	1	1	2	1024	48k	5	0.698589	0.0208196
8M	cuda_cached_means	aos	4	16	1	1	4	256	48k	1	0.538519	0.0160491
8M	cuda_cached_means	aos	4	16	1	1	4	256	48k	2	0.537217	0.0160103
8M	cuda_cached_means	aos	4	16	1	1	4	256	48k	3	0.54007	0.0160953
8M	cuda_cached_means	aos	4	16	1	1	4	256	48k	4	0.545916	0.0162696
8M	cuda_cached_means	aos	4	16	1	1	4	256	48k	5	0.539456	0.016077
8M	cuda_cached_means	aos	4	16	1	1	4	1024	48k	1	0.582674	0.017365
8M	cuda_cached_means	aos	4	16	1	1	4	1024	48k	2	0.582104	0.0173481
8M	cuda_cached_means	aos	4	16	1	1	4	1024	48k	3	0.585207	0.0174405
8M	cuda_cached_means	aos	4	16	1	1	4	1024	48k	4	0.583391	0.0173864
8M	cuda_cached_means	aos	4	16	1	1	4	1024	48k	5	0.583301	0.0173837
8M	cuda_cached_means	aos	4	16	1	1	8	256	48k	1	0.473294	0.0141053
8M	cuda_cached_means	aos	4	16	1	1	8	256	48k	2	0.470072	0.0140092
8M	cuda_cached_means	aos	4	16	1	1	8	256	48k	3	0.471965	0.0140657
8M	cuda_cached_means	aos	4	16	1	1	8	256	48k	4	0.470317	0.0140165
8M	cuda_cached_means	aos	4	16	1	1	8	256	48k	5	0.4736	0.0141144
8M	cuda_cached_means	aos	4	16	1	1	8	1024	48k	1	0.656602	0.0195683
8M	cuda_cached_means	aos	4	16	1	1	8	1024	48k	2	0.656927	0.019578
8M	cuda_cached_means	aos	4	16	1	1	8	1024	48k	3	0.656412	0.0195626
8M	cuda_cached_means	aos	4	16	1	1	8	1024	48k	4	0.657797	0.0196039
8M	cuda_cached_means	aos	4	16	1	1	8	1024	48k	5	0.656081	0.0195527
8M	cuda_cached_means	aos	4	16	1	1	16	256	48k	1	0.467776	0.0139408
8M	cuda_cached_means	aos	4	16	1	1	16	256	48k	2	0.466999	0.0139177
8M	cuda_cached_means	aos	4	16	1	1	16	256	48k	3	0.468392	0.0139592
8M	cuda_cached_means	aos	4	16	1	1	16	256	48k	4	0.465809	0.0138822
8M	cuda_cached_means	aos	4	16	1	1	16	256	48k	5	0.466743	0.01391
8M	cuda_cached_means	aos	4	16	1	1	16	1024	48k	1	0.598866	0.0178476
8M	cuda_cached_means	aos	4	16	1	1	16	1024	48k	2	0.600409	0.0178936
8M	cuda_cached_means	aos	4	16	1	1	16	1024	48k	3	0.601469	0.0179252
8M	cuda_cached_means	aos	4	16	1	1	16	1024	48k	4	0.6013	0.0179201
8M	cuda_cached_means	aos	4	16	1	1	16	1024	48k	5	0.598379	0.0178331
8M	cuda_cached_means	aos	4	16	1	4	1	256	48k	1	0.997101	0.0297159
8M	cuda_cached_means	aos	4	16	1	4	1	256	48k	2	1.00727	0.030019
8M	cuda_cached_means	aos	4	16	1	4	1	256	48k	3	1.00225	0.0298693
8M	cuda_cached_means	aos	4	16	1	4	1	256	48k	4	1.00444	0.0299347
8M	cuda_cached_means	aos	4	16	1	4	1	256	48k	5	1.00209	0.0298645
8M	cuda_cached_means	aos	4	16	1	4	1	1024	48k	1	1.07342	0.0319905
8M	cuda_cached_means	aos	4	16	1	4	1	1024	48k	2	1.07396	0.0320066
8M	cuda_cached_means	aos	4	16	1	4	1	1024	48k	3	1.07428	0.0320161
8M	cuda_cached_means	aos	4	16	1	4	1	1024	48k	4	1.07477	0.0320305
8M	cuda_cached_means	aos	4	16	1	4	1	1024	48k	5	1.07681	0.0320915
8M	cuda_cached_means	aos	4	16	1	4	2	256	48k	1	0.641589	0.0191208
8M	cuda_cached_means	aos	4	16	1	4	2	256	48k	2	0.641801	0.0191272
8M	cuda_cached_means	aos	4	16	1	4	2	256	48k	3	0.643723	0.0191844
8M	cuda_cached_means	aos	4	16	1	4	2	256	48k	4	0.641045	0.0191046
8M	cuda_cached_means	aos	4	16	1	4	2	256	48k	5	0.640944	0.0191016
8M	cuda_cached_means	aos	4	16	1	4	2	1024	48k	1	0.661408	0.0197115
8M	cuda_cached_means	aos	4	16	1	4	2	1024	48k	2	0.664346	0.0197991
8M	cuda_cached_means	aos	4	16	1	4	2	1024	48k	3	0.680235	0.0202726
