N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
4M	256	cuda_fake	aos	4	16	1	1	1	17.6643	1.05288
4M	256	cuda_fake	aos	4	16	1	1	2	16.701	0.995459
4M	256	cuda_fake	aos	4	16	1	1	3	17.8929	1.0665
4M	256	cuda_fake	aos	4	16	1	1	4	17.1772	1.02384
4M	256	cuda_fake	aos	4	16	1	1	5	17.8971	1.06675
4M	256	cuda_fake	aos	4	16	2	1	1	9.65387	0.575416
4M	256	cuda_fake	aos	4	16	2	1	2	9.64762	0.575043
4M	256	cuda_fake	aos	4	16	2	1	3	9.63858	0.574504
4M	256	cuda_fake	aos	4	16	2	1	4	9.64188	0.574701
4M	256	cuda_fake	aos	4	16	2	1	5	9.66065	0.575819
4M	256	cuda_fake	aos	4	16	4	1	1	8.67887	0.517301
4M	256	cuda_fake	aos	4	16	4	1	2	8.67929	0.517326
4M	256	cuda_fake	aos	4	16	4	1	3	8.67813	0.517257
4M	256	cuda_fake	aos	4	16	4	1	4	8.68544	0.517693
4M	256	cuda_fake	aos	4	16	4	1	5	8.67514	0.517078
4M	256	cuda_fake	aos	4	16	8	1	1	4.36221	0.260008
4M	256	cuda_fake	aos	4	16	8	1	2	4.36708	0.260298
4M	256	cuda_fake	aos	4	16	8	1	3	4.36454	0.260147
4M	256	cuda_fake	aos	4	16	8	1	4	4.36624	0.260248
4M	256	cuda_fake	aos	4	16	8	1	5	4.36272	0.260038
4M	256	cuda_fake	aos	4	16	16	1	1	2.20145	0.131216
4M	256	cuda_fake	aos	4	16	16	1	2	2.20576	0.131474
4M	256	cuda_fake	aos	4	16	16	1	3	2.2001	0.131136
4M	256	cuda_fake	aos	4	16	16	1	4	2.20147	0.131218
4M	256	cuda_fake	aos	4	16	16	1	5	2.20248	0.131278
4M	256	cuda_fake	aos	4	16	32	1	1	1.24142	0.0739943
4M	256	cuda_fake	aos	4	16	32	1	2	1.24186	0.0740204
4M	256	cuda_fake	aos	4	16	32	1	3	1.24743	0.0743523
4M	256	cuda_fake	aos	4	16	32	1	4	1.24156	0.0740029
4M	256	cuda_fake	aos	4	16	32	1	5	1.24884	0.0744369
4M	256	cuda_fake	aos	4	16	64	1	1	1.2408	0.0739571
4M	256	cuda_fake	aos	4	16	64	1	2	1.23968	0.0738907
4M	256	cuda_fake	aos	4	16	64	1	3	1.24113	0.0739769
4M	256	cuda_fake	aos	4	16	64	1	4	1.24235	0.0740499
4M	256	cuda_fake	aos	4	16	64	1	5	1.24442	0.0741731
4M	256	cuda_fake	aos	4	64	1	1	1	8.18971	0.488145
4M	256	cuda_fake	aos	4	64	1	1	2	8.18767	0.488023
4M	256	cuda_fake	aos	4	64	1	1	3	8.1936	0.488377
4M	256	cuda_fake	aos	4	64	1	1	4	8.19466	0.48844
4M	256	cuda_fake	aos	4	64	1	1	5	8.1871	0.487989
4M	256	cuda_fake	aos	4	64	2	1	1	4.36289	0.260049
