N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
8M	256	cuda_fake	aos	4	16	1	1	1	6.87798	0.20498
8M	256	cuda_fake	aos	4	16	1	1	2	6.87824	0.204988
8M	256	cuda_fake	aos	4	16	1	1	3	6.87971	0.205031
8M	256	cuda_fake	aos	4	16	1	1	4	6.8785	0.204995
8M	256	cuda_fake	aos	4	16	1	1	5	6.87858	0.204998
8M	256	cuda_fake	aos	4	16	2	1	1	3.45123	0.102855
8M	256	cuda_fake	aos	4	16	2	1	2	3.45468	0.102957
8M	256	cuda_fake	aos	4	16	2	1	3	3.45131	0.102857
8M	256	cuda_fake	aos	4	16	2	1	4	3.45227	0.102886
8M	256	cuda_fake	aos	4	16	2	1	5	3.45146	0.102862
8M	256	cuda_fake	aos	4	16	4	1	1	3.45202	0.102878
8M	256	cuda_fake	aos	4	16	4	1	2	3.45235	0.102888
8M	256	cuda_fake	aos	4	16	4	1	3	3.45204	0.102879
8M	256	cuda_fake	aos	4	16	4	1	4	3.45161	0.102866
8M	256	cuda_fake	aos	4	16	4	1	5	3.45182	0.102872
8M	256	cuda_fake	aos	4	16	8	1	1	1.73632	0.0517465
8M	256	cuda_fake	aos	4	16	8	1	2	1.73685	0.0517622
8M	256	cuda_fake	aos	4	16	8	1	3	1.7364	0.0517487
8M	256	cuda_fake	aos	4	16	8	1	4	1.73588	0.0517333
8M	256	cuda_fake	aos	4	16	8	1	5	1.73665	0.0517561
8M	256	cuda_fake	aos	4	16	16	1	1	0.879432	0.0262091
8M	256	cuda_fake	aos	4	16	16	1	2	0.878813	0.0261907
8M	256	cuda_fake	aos	4	16	16	1	3	0.879083	0.0261987
8M	256	cuda_fake	aos	4	16	16	1	4	0.882012	0.026286
8M	256	cuda_fake	aos	4	16	16	1	5	0.879583	0.0262136
8M	256	cuda_fake	aos	4	16	32	1	1	0.450457	0.0134247
8M	256	cuda_fake	aos	4	16	32	1	2	0.451167	0.0134458
8M	256	cuda_fake	aos	4	16	32	1	3	0.450596	0.0134288
8M	256	cuda_fake	aos	4	16	32	1	4	0.45042	0.0134236
8M	256	cuda_fake	aos	4	16	32	1	5	0.452063	0.0134725
8M	256	cuda_fake	aos	4	16	64	1	1	0.370078	0.0110292
8M	256	cuda_fake	aos	4	16	64	1	2	0.369781	0.0110203
8M	256	cuda_fake	aos	4	16	64	1	3	0.370201	0.0110328
8M	256	cuda_fake	aos	4	16	64	1	4	0.370565	0.0110437
8M	256	cuda_fake	aos	4	16	64	1	5	0.370044	0.0110282
8M	256	cuda_fake	aos	4	64	1	1	1	3.44774	0.102751
8M	256	cuda_fake	aos	4	64	1	1	2	3.44763	0.102747
8M	256	cuda_fake	aos	4	64	1	1	3	3.44774	0.102751
8M	256	cuda_fake	aos	4	64	1	1	4	3.4471	0.102731
8M	256	cuda_fake	aos	4	64	1	1	5	3.44692	0.102726
8M	256	cuda_fake	aos	4	64	2	1	1	1.73528	0.0517154
8M	256	cuda_fake	aos	4	64	2	1	2	1.73689	0.0517632
8M	256	cuda_fake	aos	4	64	2	1	3	1.73637	0.0517478
8M	256	cuda_fake	aos	4	64	2	1	4	1.73598	0.0517363
8M	256	cuda_fake	aos	4	64	2	1	5	1.73609	0.0517395
