N	iters	algorithm	layout	dim	k	blockSize	shmSize	seed	totalTime	normalizedTime
2M	5	kmcuda	aos	4	16	256	48k	1	847.91	101.079
2M	5	kmcuda	aos	4	16	256	48k	2	925.415	110.318
2M	5	kmcuda	aos	4	16	256	48k	3	926.246	110.417
2M	5	kmcuda	aos	4	16	256	48k	4	869.215	103.618
2M	5	kmcuda	aos	4	64	256	48k	1	635.731	75.785
2M	5	kmcuda	aos	4	64	256	48k	2	622.883	74.2535
2M	5	kmcuda	aos	4	64	256	48k	3	678.284	80.8577
2M	5	kmcuda	aos	4	64	256	48k	4	605.986	72.2392
2M	5	kmcuda	aos	4	256	256	48k	1	434.102	51.749
2M	5	kmcuda	aos	4	256	256	48k	2	447.815	53.3837
2M	5	kmcuda	aos	4	256	256	48k	3	434.133	51.7527
2M	5	kmcuda	aos	4	256	256	48k	4	443.975	52.926
2M	5	kmcuda	aos	4	1024	256	48k	1	461.463	55.0107
2M	5	kmcuda	aos	4	1024	256	48k	2	461.631	55.0307
2M	5	kmcuda	aos	4	1024	256	48k	3	462.008	55.0757
2M	5	kmcuda	aos	4	1024	256	48k	4	462.47	55.1308
2M	5	kmcuda	aos	4	4096	256	48k	1	870.386	103.758
2M	5	kmcuda	aos	4	4096	256	48k	2	870.917	103.821
2M	5	kmcuda	aos	4	4096	256	48k	3	870.197	103.736
2M	5	kmcuda	aos	4	4096	256	48k	4	870.483	103.77
2M	5	kmcuda	aos	8	16	256	48k	1	1385.72	82.5952
2M	5	kmcuda	aos	8	16	256	48k	2	1284.05	76.5354
2M	5	kmcuda	aos	8	16	256	48k	3	1352.22	80.5987
2M	5	kmcuda	aos	8	16	256	48k	4	1277.42	76.1401
2M	5	kmcuda	aos	8	64	256	48k	1	863.236	51.4529
2M	5	kmcuda	aos	8	64	256	48k	2	952.282	56.7604
2M	5	kmcuda	aos	8	64	256	48k	3	975.379	58.1371
2M	5	kmcuda	aos	8	64	256	48k	4	982.886	58.5845
2M	5	kmcuda	aos	8	256	256	48k	1	549.988	32.7818
2M	5	kmcuda	aos	8	256	256	48k	2	548.216	32.6762
2M	5	kmcuda	aos	8	256	256	48k	3	545.526	32.5159
2M	5	kmcuda	aos	8	256	256	48k	4	563.004	33.5577
2M	5	kmcuda	aos	8	1024	256	48k	1	598.29	35.6609
2M	5	kmcuda	aos	8	1024	256	48k	2	596.431	35.55
2M	5	kmcuda	aos	8	1024	256	48k	3	595.317	35.4837
2M	5	kmcuda	aos	8	1024	256	48k	4	595.312	35.4833
2M	5	kmcuda	aos	8	4096	256	48k	1	1316	78.4399
2M	5	kmcuda	aos	8	4096	256	48k	2	1315.17	78.39
2M	5	kmcuda	aos	8	4096	256	48k	3	1315.04	78.3822
2M	5	kmcuda	aos	8	4096	256	48k	4	1315.55	78.4131
2M	5	kmcuda	aos	16	16	256	48k	1	2619.97	78.0811
2M	5	kmcuda	aos	16	16	256	48k	2	2307.57	68.7708
2M	5	kmcuda	aos	16	16	256	48k	3	2665.64	79.4423
2M	5	kmcuda	aos	16	16	256	48k	4	2772.42	82.6245
2M	5	kmcuda	aos	16	64	256	48k	1	1659.76	49.4648
2M	5	kmcuda	aos	16	64	256	48k	2	1408.11	41.965
2M	5	kmcuda	aos	16	64	256	48k	3	1506.86	44.9078
2M	5	kmcuda	aos	16	64	256	48k	4	1528.75	45.5603
2M	5	kmcuda	aos	16	256	256	48k	1	860.389	25.6416
2M	5	kmcuda	aos	16	256	256	48k	2	831.912	24.7929
2M	5	kmcuda	aos	16	256	256	48k	3	822.919	24.5249
2M	5	kmcuda	aos	16	256	256	48k	4	863.025	25.7201
2M	5	kmcuda	aos	16	1024	256	48k	1	1117.22	33.2957
2M	5	kmcuda	aos	16	1024	256	48k	2	1117.44	33.3022
2M	5	kmcuda	aos	16	1024	256	48k	3	1118.88	33.3453
2M	5	kmcuda	aos	16	1024	256	48k	4	1120.25	33.3861
2M	5	kmcuda	aos	16	4096	256	48k	1	3230.75	96.2838
2M	5	kmcuda	aos	16	4096	256	48k	2	3231.18	96.2968
2M	5	kmcuda	aos	16	4096	256	48k	3	3231.39	96.303
2M	5	kmcuda	aos	16	4096	256	48k	4	3231.18	96.2967
2M	5	kmcuda	aos	32	16	256	48k	1	4140.33	61.6957
2M	5	kmcuda	aos	32	16	256	48k	2	4637.17	69.0993
2M	5	kmcuda	aos	32	16	256	48k	3	4343.82	64.7279
2M	5	kmcuda	aos	32	16	256	48k	4	4882.95	72.7616
2M	5	kmcuda	aos	32	64	256	48k	1	2942.81	43.8513
