N	iters	algorithm	layout	dim	k	blockSize	shmSize	seed	totalTime	normalizedTime
8M	5	cuda_base	aos	4	16	256	48k	1	28.7123	0.855693
8M	5	cuda_base	aos	4	16	256	48k	2	27.9805	0.833885
8M	5	cuda_base	aos	4	16	256	48k	3	27.8803	0.830898
8M	5	cuda_base	aos	4	16	256	48k	4	27.5917	0.822296
8M	5	cuda_base	aos	4	16	1024	48k	1	28.7189	0.855889
8M	5	cuda_base	aos	4	16	1024	48k	2	27.9872	0.834085
8M	5	cuda_base	aos	4	16	1024	48k	3	27.8889	0.831155
8M	5	cuda_base	aos	4	16	1024	48k	4	27.6004	0.822556
8M	5	cuda_base	aos	4	64	256	48k	1	11.872	0.353813
8M	5	cuda_base	aos	4	64	256	48k	2	15.0252	0.447787
8M	5	cuda_base	aos	4	64	256	48k	3	13.1012	0.390445
8M	5	cuda_base	aos	4	64	256	48k	4	12.3699	0.368653
8M	5	cuda_base	aos	4	64	1024	48k	1	11.9002	0.354655
8M	5	cuda_base	aos	4	64	1024	48k	2	12.7137	0.378897
8M	5	cuda_base	aos	4	64	1024	48k	3	12.27	0.365673
8M	5	cuda_base	aos	4	64	1024	48k	4	11.6049	0.345854
8M	5	cuda_base	aos	4	256	256	48k	1	16.3607	0.487587
8M	5	cuda_base	aos	4	256	256	48k	2	16.205	0.482947
8M	5	cuda_base	aos	4	256	256	48k	3	16.2558	0.484461
8M	5	cuda_base	aos	4	256	256	48k	4	16.6457	0.496081
8M	5	cuda_base	aos	4	256	1024	48k	1	16.4009	0.488785
8M	5	cuda_base	aos	4	256	1024	48k	2	16.2443	0.484117
8M	5	cuda_base	aos	4	256	1024	48k	3	16.3084	0.486029
8M	5	cuda_base	aos	4	256	1024	48k	4	16.7054	0.497859
8M	5	cuda_base	aos	4	1024	256	48k	1	48.4337	1.44344
8M	5	cuda_base	aos	4	1024	256	48k	2	48.5545	1.44704
8M	5	cuda_base	aos	4	1024	256	48k	3	48.4021	1.4425
8M	5	cuda_base	aos	4	1024	256	48k	4	48.3331	1.44044
8M	5	cuda_base	aos	4	1024	1024	48k	1	48.4408	1.44365
8M	5	cuda_base	aos	4	1024	1024	48k	2	48.6755	1.45064
8M	5	cuda_base	aos	4	1024	1024	48k	3	48.5217	1.44606
8M	5	cuda_base	aos	4	1024	1024	48k	4	48.7927	1.45414
8M	5	cuda_base	aos	4	4096	256	48k	1	190.136	5.66649
8M	5	cuda_base	aos	4	4096	256	48k	2	191.127	5.69604
8M	5	cuda_base	aos	4	4096	256	48k	3	191.256	5.69987
8M	5	cuda_base	aos	4	4096	256	48k	4	191.472	5.70632
8M	5	cuda_base	aos	4	4096	1024	48k	1	190.835	5.68732
8M	5	cuda_base	aos	4	4096	1024	48k	2	190.71	5.68361
8M	5	cuda_base	aos	4	4096	1024	48k	3	191.107	5.69542
8M	5	cuda_base	aos	4	4096	1024	48k	4	191.074	5.69444
8M	5	cuda_base	aos	8	16	256	48k	1	43.0232	0.641096
8M	5	cuda_base	aos	8	16	256	48k	2	36.3994	0.542393
8M	5	cuda_base	aos	8	16	256	48k	3	36.3943	0.542318
8M	5	cuda_base	aos	8	16	256	48k	4	38.2446	0.569888
8M	5	cuda_base	aos	8	16	1024	48k	1	43.043	0.641391
8M	5	cuda_base	aos	8	16	1024	48k	2	36.4613	0.543316
8M	5	cuda_base	aos	8	16	1024	48k	3	36.4458	0.543085
8M	5	cuda_base	aos	8	16	1024	48k	4	38.2742	0.57033
8M	5	cuda_base	aos	8	64	256	48k	1	28.4612	0.424105
8M	5	cuda_base	aos	8	64	256	48k	2	30.4837	0.454242
8M	5	cuda_base	aos	8	64	256	48k	3	29.6872	0.442373
8M	5	cuda_base	aos	8	64	256	48k	4	26.99	0.402182
8M	5	cuda_base	aos	8	64	1024	48k	1	28.5048	0.424755
8M	5	cuda_base	aos	8	64	1024	48k	2	30.5215	0.454806
8M	5	cuda_base	aos	8	64	1024	48k	3	29.7245	0.442929
8M	5	cuda_base	aos	8	64	1024	48k	4	27.0324	0.402813
8M	5	cuda_base	aos	8	256	256	48k	1	46.1343	0.687454
8M	5	cuda_base	aos	8	256	256	48k	2	46.3295	0.690364
8M	5	cuda_base	aos	8	256	256	48k	3	46.2564	0.689274
8M	5	cuda_base	aos	8	256	256	48k	4	46.2044	0.688499
8M	5	cuda_base	aos	8	256	1024	48k	1	46.2327	0.688921
8M	5	cuda_base	aos	8	256	1024	48k	2	46.4416	0.692034
8M	5	cuda_base	aos	8	256	1024	48k	3	46.3807	0.691126
8M	5	cuda_base	aos	8	256	1024	48k	4	46.2584	0.689304
8M	5	cuda_base	aos	8	1024	256	48k	1	162.59	2.42278
8M	5	cuda_base	aos	8	1024	256	48k	2	162.679	2.4241
8M	5	cuda_base	aos	8	1024	256	48k	3	162.728	2.42484
8M	5	cuda_base	aos	8	1024	256	48k	4	162.693	2.42431
8M	5	cuda_base	aos	8	1024	1024	48k	1	164	2.44379
8M	5	cuda_base	aos	8	1024	1024	48k	2	163.962	2.44322
8M	5	cuda_base	aos	8	1024	1024	48k	3	163.923	2.44264
8M	5	cuda_base	aos	8	1024	1024	48k	4	164.053	2.44458
8M	5	cuda_base	aos	8	4096	256	48k	1	642.68	9.57667
8M	5	cuda_base	aos	8	4096	256	48k	2	642.782	9.5782
8M	5	cuda_base	aos	8	4096	256	48k	3	642.692	9.57686
8M	5	cuda_base	aos	8	4096	256	48k	4	642.358	9.57188
8M	5	cuda_base	aos	8	4096	1024	48k	1	642.959	9.58083
8M	5	cuda_base	aos	8	4096	1024	48k	2	643.073	9.58254
8M	5	cuda_base	aos	8	4096	1024	48k	3	642.96	9.58086
8M	5	cuda_base	aos	8	4096	1024	48k	4	642.909	9.58009
8M	5	cuda_base	aos	16	16	256	48k	1	55.5121	0.413597
8M	5	cuda_base	aos	16	16	256	48k	2	63.0088	0.469452
8M	5	cuda_base	aos	16	16	256	48k	3	53.3677	0.39762
8M	5	cuda_base	aos	16	16	256	48k	4	52.9052	0.394174
8M	5	cuda_base	aos	16	16	1024	48k	1	55.8502	0.416117
8M	5	cuda_base	aos	16	16	1024	48k	2	63.0482	0.469746
8M	5	cuda_base	aos	16	16	1024	48k	3	54.1619	0.403538
8M	5	cuda_base	aos	16	16	1024	48k	4	53.5284	0.398817
8M	5	cuda_base	aos	16	64	256	48k	1	56.6009	0.42171
8M	5	cuda_base	aos	16	64	256	48k	2	60.3805	0.44987
8M	5	cuda_base	aos	16	64	256	48k	3	60.997	0.454463
8M	5	cuda_base	aos	16	64	256	48k	4	61.6625	0.459422
8M	5	cuda_base	aos	16	64	1024	48k	1	56.6565	0.422124
8M	5	cuda_base	aos	16	64	1024	48k	2	60.331	0.449501
8M	5	cuda_base	aos	16	64	1024	48k	3	61.1065	0.455279
8M	5	cuda_base	aos	16	64	1024	48k	4	61.7755	0.460263
8M	5	cuda_base	aos	16	256	256	48k	1	164.769	1.22762
8M	5	cuda_base	aos	16	256	256	48k	2	157.023	1.16991
8M	5	cuda_base	aos	16	256	256	48k	3	157.038	1.17002
8M	5	cuda_base	aos	16	256	256	48k	4	157.258	1.17166
8M	5	cuda_base	aos	16	256	1024	48k	1	156.852	1.16864
8M	5	cuda_base	aos	16	256	1024	48k	2	156.683	1.16738
8M	5	cuda_base	aos	16	256	1024	48k	3	156.504	1.16604
8M	5	cuda_base	aos	16	256	1024	48k	4	156.708	1.16757
8M	5	cuda_base	aos	16	1024	256	48k	1	610.148	4.54596
8M	5	cuda_base	aos	16	1024	256	48k	2	609.84	4.54366
8M	5	cuda_base	aos	16	1024	256	48k	3	609.976	4.54467
8M	5	cuda_base	aos	16	1024	256	48k	4	609.729	4.54283
8M	5	cuda_base	aos	16	1024	1024	48k	1	609.783	4.54324
8M	5	cuda_base	aos	16	1024	1024	48k	2	614.031	4.57489
8M	5	cuda_base	aos	16	1024	1024	48k	3	609.99	4.54478
8M	5	cuda_base	aos	16	1024	1024	48k	4	609.806	4.54341
8M	5	cuda_base	aos	16	4096	256	48k	1	2434.3	18.137
8M	5	cuda_base	aos	16	4096	256	48k	2	2438.65	18.1694
8M	5	cuda_base	aos	16	4096	256	48k	3	2430.27	18.1069
8M	5	cuda_base	aos	16	4096	256	48k	4	2430.42	18.108
8M	5	cuda_base	aos	16	4096	1024	48k	1	2428.99	18.0974
8M	5	cuda_base	aos	16	4096	1024	48k	2	2428.86	18.0964
8M	5	cuda_base	aos	16	4096	1024	48k	3	2433.85	18.1336
8M	5	cuda_base	aos	16	4096	1024	48k	4	2428.92	18.0969
8M	5	cuda_base	aos	32	16	256	48k	1	163.856	0.61041
8M	5	cuda_base	aos	32	16	256	48k	2	153.111	0.570384
8M	5	cuda_base	aos	32	16	256	48k	3	180.153	0.671124
8M	5	cuda_base	aos	32	16	256	48k	4	170.215	0.6341
8M	5	cuda_base	aos	32	16	1024	48k	1	169.586	0.631758
8M	5	cuda_base	aos	32	16	1024	48k	2	158.055	0.588802
8M	5	cuda_base	aos	32	16	1024	48k	3	186.143	0.693437
8M	5	cuda_base	aos	32	16	1024	48k	4	175.307	0.653068
