N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
8M	256	cuda_atomic_point	aos	4	16	1	1	1	28.9971	0.864181
8M	256	cuda_atomic_point	aos	4	16	1	1	2	28.9958	0.864144
8M	256	cuda_atomic_point	aos	4	16	1	1	3	28.9961	0.864151
8M	256	cuda_atomic_point	aos	4	16	1	1	4	28.998	0.864206
8M	256	cuda_atomic_point	aos	4	16	1	1	5	28.9929	0.864055
8M	256	cuda_atomic_point	aos	4	16	4	1	1	14.1435	0.421509
8M	256	cuda_atomic_point	aos	4	16	4	1	2	14.1434	0.421505
8M	256	cuda_atomic_point	aos	4	16	4	1	3	14.1607	0.422022
8M	256	cuda_atomic_point	aos	4	16	4	1	4	14.1492	0.421679
8M	256	cuda_atomic_point	aos	4	16	4	1	5	14.1457	0.421576
8M	256	cuda_atomic_point	aos	4	16	16	1	1	3.66292	0.109163
8M	256	cuda_atomic_point	aos	4	16	16	1	2	3.6536	0.108886
8M	256	cuda_atomic_point	aos	4	16	16	1	3	3.65167	0.108828
8M	256	cuda_atomic_point	aos	4	16	16	1	4	3.65862	0.109035
8M	256	cuda_atomic_point	aos	4	16	16	1	5	3.65055	0.108795
8M	256	cuda_atomic_point	aos	4	64	1	1	1	16.9833	0.506141
8M	256	cuda_atomic_point	aos	4	64	1	1	2	16.9873	0.506262
8M	256	cuda_atomic_point	aos	4	64	1	1	3	16.9866	0.506241
8M	256	cuda_atomic_point	aos	4	64	1	1	4	16.9908	0.506365
8M	256	cuda_atomic_point	aos	4	64	1	1	5	16.9867	0.506244
8M	256	cuda_atomic_point	aos	4	64	4	1	1	4.34599	0.129521
8M	256	cuda_atomic_point	aos	4	64	4	1	2	4.33355	0.12915
8M	256	cuda_atomic_point	aos	4	64	4	1	3	4.34013	0.129346
8M	256	cuda_atomic_point	aos	4	64	4	1	4	4.33965	0.129332
8M	256	cuda_atomic_point	aos	4	64	4	1	5	4.33581	0.129217
8M	256	cuda_atomic_point	aos	4	64	16	1	1	1.26509	0.0377026
8M	256	cuda_atomic_point	aos	4	64	16	1	2	1.26746	0.0377733
8M	256	cuda_atomic_point	aos	4	64	16	1	3	1.26249	0.0376252
8M	256	cuda_atomic_point	aos	4	64	16	1	4	1.26159	0.0375983
8M	256	cuda_atomic_point	aos	4	64	16	1	5	1.26963	0.0378379
8M	256	cuda_atomic_point	aos	4	256	1	1	1	5.0088	0.149274
8M	256	cuda_atomic_point	aos	4	256	1	1	2	5.00659	0.149208
8M	256	cuda_atomic_point	aos	4	256	1	1	3	5.00288	0.149097
8M	256	cuda_atomic_point	aos	4	256	1	1	4	5.0072	0.149226
8M	256	cuda_atomic_point	aos	4	256	1	1	5	5.00704	0.149221
8M	256	cuda_atomic_point	aos	4	256	4	1	1	1.37176	0.0408815
8M	256	cuda_atomic_point	aos	4	256	4	1	2	1.36181	0.040585
8M	256	cuda_atomic_point	aos	4	256	4	1	3	1.35885	0.040497
8M	256	cuda_atomic_point	aos	4	256	4	1	4	1.36494	0.0406784
8M	256	cuda_atomic_point	aos	4	256	4	1	5	1.36174	0.0405831
8M	256	cuda_atomic_point	aos	4	256	16	1	1	1.07382	0.0320022
8M	256	cuda_atomic_point	aos	4	256	16	1	2	1.07646	0.032081
8M	256	cuda_atomic_point	aos	4	256	16	1	3	1.07855	0.0321434
8M	256	cuda_atomic_point	aos	4	256	16	1	4	1.07817	0.0321321
8M	256	cuda_atomic_point	aos	4	256	16	1	5	1.07483	0.0320323
8M	256	cuda_atomic_point	aos	4	1024	1	1	1	1.11147	0.0331245
8M	256	cuda_atomic_point	aos	4	1024	1	1	2	1.11109	0.0331131
8M	256	cuda_atomic_point	aos	4	1024	1	1	3	1.11254	0.0331563
8M	256	cuda_atomic_point	aos	4	1024	1	1	4	1.11396	0.0331987
8M	256	cuda_atomic_point	aos	4	1024	1	1	5	1.1119	0.0331371
8M	256	cuda_atomic_point	aos	4	1024	4	1	1	0.910378	0.0271314
8M	256	cuda_atomic_point	aos	4	1024	4	1	2	0.908357	0.0270711
8M	256	cuda_atomic_point	aos	4	1024	4	1	3	0.906949	0.0270292
8M	256	cuda_atomic_point	aos	4	1024	4	1	4	0.905929	0.0269988
8M	256	cuda_atomic_point	aos	4	1024	4	1	5	0.907454	0.0270442
8M	256	cuda_atomic_point	aos	4	1024	16	1	1	0.908802	0.0270844
8M	256	cuda_atomic_point	aos	4	1024	16	1	2	0.911087	0.0271525
8M	256	cuda_atomic_point	aos	4	1024	16	1	3	0.908574	0.0270776
8M	256	cuda_atomic_point	aos	4	1024	16	1	4	0.912264	0.0271876
8M	256	cuda_atomic_point	aos	4	1024	16	1	5	0.908281	0.0270689
8M	256	cuda_atomic_point	aos	4	4096	1	1	1	0.782717	0.0233268
8M	256	cuda_atomic_point	aos	4	4096	1	1	2	0.787521	0.02347
8M	256	cuda_atomic_point	aos	4	4096	1	1	3	0.784884	0.0233914
8M	256	cuda_atomic_point	aos	4	4096	1	1	4	0.786941	0.0234527
8M	256	cuda_atomic_point	aos	4	4096	1	1	5	0.787078	0.0234568
8M	256	cuda_atomic_point	aos	4	4096	4	1	1	0.792796	0.0236272
8M	256	cuda_atomic_point	aos	4	4096	4	1	2	0.788826	0.0235088
8M	256	cuda_atomic_point	aos	4	4096	4	1	3	0.791078	0.023576
8M	256	cuda_atomic_point	aos	4	4096	4	1	4	0.793076	0.0236355
8M	256	cuda_atomic_point	aos	4	4096	4	1	5	0.788638	0.0235032
8M	256	cuda_atomic_point	aos	4	4096	16	1	1	0.795116	0.0236963
8M	256	cuda_atomic_point	aos	4	4096	16	1	2	0.794588	0.0236806
8M	256	cuda_atomic_point	aos	4	4096	16	1	3	0.79438	0.0236744
8M	256	cuda_atomic_point	aos	4	4096	16	1	4	0.796248	0.02373
8M	256	cuda_atomic_point	aos	4	4096	16	1	5	0.794707	0.0236841
8M	256	cuda_atomic_point	aos	16	16	1	1	1	75.1574	0.559966
8M	256	cuda_atomic_point	aos	16	16	1	1	2	70.996	0.528962
8M	256	cuda_atomic_point	aos	16	16	1	1	3	71.0379	0.529274
8M	256	cuda_atomic_point	aos	16	16	1	1	4	71.0474	0.529345
8M	256	cuda_atomic_point	aos	16	16	1	1	5	71.0014	0.529002
8M	256	cuda_atomic_point	aos	16	16	4	1	1	18.0456	0.134451
8M	256	cuda_atomic_point	aos	16	16	4	1	2	18.0519	0.134497
8M	256	cuda_atomic_point	aos	16	16	4	1	3	18.0499	0.134482
8M	256	cuda_atomic_point	aos	16	16	4	1	4	20.3587	0.151684
8M	256	cuda_atomic_point	aos	16	16	4	1	5	20.3468	0.151596
8M	256	cuda_atomic_point	aos	16	16	16	1	1	6.02247	0.0448709
8M	256	cuda_atomic_point	aos	16	16	16	1	2	5.69144	0.0424045
8M	256	cuda_atomic_point	aos	16	16	16	1	3	5.69502	0.0424312
8M	256	cuda_atomic_point	aos	16	16	16	1	4	5.70532	0.0425079
8M	256	cuda_atomic_point	aos	16	16	16	1	5	5.69786	0.0424524
8M	256	cuda_atomic_point	aos	16	64	1	1	1	16.6518	0.124066
8M	256	cuda_atomic_point	aos	16	64	1	1	2	16.2563	0.121119
8M	256	cuda_atomic_point	aos	16	64	1	1	3	16.2678	0.121205
8M	256	cuda_atomic_point	aos	16	64	1	1	4	14.8695	0.110787
8M	256	cuda_atomic_point	aos	16	64	1	1	5	14.8808	0.110871
8M	256	cuda_atomic_point	aos	16	64	4	1	1	3.92366	0.0292335
8M	256	cuda_atomic_point	aos	16	64	4	1	2	3.92548	0.0292471
8M	256	cuda_atomic_point	aos	16	64	4	1	3	3.92553	0.0292475
8M	256	cuda_atomic_point	aos	16	64	4	1	4	3.92927	0.0292754
8M	256	cuda_atomic_point	aos	16	64	4	1	5	3.93147	0.0292917
8M	256	cuda_atomic_point	aos	16	64	16	1	1	3.25449	0.0242478
8M	256	cuda_atomic_point	aos	16	64	16	1	2	3.2418	0.0241533
8M	256	cuda_atomic_point	aos	16	64	16	1	3	3.25237	0.0242321
8M	256	cuda_atomic_point	aos	16	64	16	1	4	3.24845	0.0242028
8M	256	cuda_atomic_point	aos	16	64	16	1	5	3.25479	0.0242501
8M	256	cuda_atomic_point	aos	16	256	1	1	1	3.60384	0.0268507
8M	256	cuda_atomic_point	aos	16	256	1	1	2	3.56488	0.0265604
8M	256	cuda_atomic_point	aos	16	256	1	1	3	4.26704	0.0317919
8M	256	cuda_atomic_point	aos	16	256	1	1	4	4.28049	0.0318922
8M	256	cuda_atomic_point	aos	16	256	1	1	5	4.21384	0.0313956
8M	256	cuda_atomic_point	aos	16	256	4	1	1	3.31586	0.0247051
8M	256	cuda_atomic_point	aos	16	256	4	1	2	3.32018	0.0247373
8M	256	cuda_atomic_point	aos	16	256	4	1	3	3.32345	0.0247617
8M	256	cuda_atomic_point	aos	16	256	4	1	4	3.32395	0.0247653
8M	256	cuda_atomic_point	aos	16	256	4	1	5	3.32892	0.0248024
8M	256	cuda_atomic_point	aos	16	256	16	1	1	3.32586	0.0247796
8M	256	cuda_atomic_point	aos	16	256	16	1	2	3.30251	0.0246056
8M	256	cuda_atomic_point	aos	16	256	16	1	3	3.30273	0.0246072
8M	256	cuda_atomic_point	aos	16	256	16	1	4	3.29984	0.0245857
8M	256	cuda_atomic_point	aos	16	256	16	1	5	3.29842	0.0245752
8M	256	cuda_atomic_point	aos	16	1024	1	1	1	3.15341	0.0234947
8M	256	cuda_atomic_point	aos	16	1024	1	1	2	3.15953	0.0235403
8M	256	cuda_atomic_point	aos	16	1024	1	1	3	3.15865	0.0235338
8M	256	cuda_atomic_point	aos	16	1024	1	1	4	2.92816	0.0218165
8M	256	cuda_atomic_point	aos	16	1024	1	1	5	2.9294	0.0218257
8M	256	cuda_atomic_point	aos	16	1024	4	1	1	2.94538	0.0219448
8M	256	cuda_atomic_point	aos	16	1024	4	1	2	2.94149	0.0219158
8M	256	cuda_atomic_point	aos	16	1024	4	1	3	2.94259	0.021924
8M	256	cuda_atomic_point	aos	16	1024	4	1	4	2.9424	0.0219226
8M	256	cuda_atomic_point	aos	16	1024	4	1	5	2.95498	0.0220163
8M	256	cuda_atomic_point	aos	16	1024	16	1	1	2.87208	0.0213987
8M	256	cuda_atomic_point	aos	16	1024	16	1	2	2.87176	0.0213963
8M	256	cuda_atomic_point	aos	16	1024	16	1	3	2.87013	0.0213842
8M	256	cuda_atomic_point	aos	16	1024	16	1	4	2.86174	0.0213216
8M	256	cuda_atomic_point	aos	16	1024	16	1	5	2.86594	0.0213529
8M	256	cuda_atomic_point	aos	16	4096	1	1	1	2.80561	0.0209035
8M	256	cuda_atomic_point	aos	16	4096	1	1	2	2.80557	0.0209031
8M	256	cuda_atomic_point	aos	16	4096	1	1	3	2.80598	0.0209062
8M	256	cuda_atomic_point	aos	16	4096	1	1	4	2.8033	0.0208862
8M	256	cuda_atomic_point	aos	16	4096	1	1	5	2.81009	0.0209368
8M	256	cuda_atomic_point	aos	16	4096	4	1	1	2.82772	0.0210682
8M	256	cuda_atomic_point	aos	16	4096	4	1	2	2.83573	0.0211278
8M	256	cuda_atomic_point	aos	16	4096	4	1	3	2.8256	0.0210524
8M	256	cuda_atomic_point	aos	16	4096	4	1	4	2.8201	0.0210114
8M	256	cuda_atomic_point	aos	16	4096	4	1	5	3.12242	0.0232638
8M	256	cuda_atomic_point	aos	16	4096	16	1	1	5.56175	0.0414383
8M	256	cuda_atomic_point	aos	16	4096	16	1	2	5.55666	0.0414004
8M	256	cuda_atomic_point	aos	16	4096	16	1	3	5.58289	0.0415958
8M	256	cuda_atomic_point	aos	16	4096	16	1	4	5.5596	0.0414223
8M	256	cuda_atomic_point	aos	16	4096	16	1	5	5.59744	0.0417041
8M	256	cuda_atomic_point	aos	20	16	1	1	1	75.195	0.448197
8M	256	cuda_atomic_point	aos	20	16	1	1	2	72.0424	0.429406
8M	256	cuda_atomic_point	aos	20	16	1	1	3	72.0563	0.429489
8M	256	cuda_atomic_point	aos	20	16	1	1	4	72.106	0.429785
8M	256	cuda_atomic_point	aos	20	16	1	1	5	72.0358	0.429367
8M	256	cuda_atomic_point	aos	20	16	4	1	1	18.423	0.10981
8M	256	cuda_atomic_point	aos	20	16	4	1	2	18.4237	0.109814
8M	256	cuda_atomic_point	aos	20	16	4	1	3	18.4187	0.109784
8M	256	cuda_atomic_point	aos	20	16	4	1	4	18.4226	0.109807
8M	256	cuda_atomic_point	aos	20	16	4	1	5	18.4082	0.109722
8M	256	cuda_atomic_point	aos	20	16	16	1	1	9.05019	0.0539434
8M	256	cuda_atomic_point	aos	20	16	16	1	2	9.05424	0.0539675
8M	256	cuda_atomic_point	aos	20	16	16	1	3	9.06526	0.0540331
8M	256	cuda_atomic_point	aos	20	16	16	1	4	9.05541	0.0539745
8M	256	cuda_atomic_point	aos	20	16	16	1	5	9.06622	0.0540389
8M	256	cuda_atomic_point	aos	20	64	1	1	1	15.4373	0.0920133
8M	256	cuda_atomic_point	aos	20	64	1	1	2	15.4742	0.0922336
8M	256	cuda_atomic_point	aos	20	64	1	1	3	15.4704	0.0922108
8M	256	cuda_atomic_point	aos	20	64	1	1	4	17.4227	0.103848
8M	256	cuda_atomic_point	aos	20	64	1	1	5	17.4448	0.103979
8M	256	cuda_atomic_point	aos	20	64	4	1	1	7.83856	0.0467215
